Zone,Time,Station,Temp
MTZ138,2021-07-29 04:48:00,BRTM8,16.111
MTZ138,2021-07-29 04:29:00,HBOM8,26.111
MTZ138,2021-07-29 04:18:00,PMRM8,20.556
MTZ138,2021-07-29 04:18:00,WWMM8,23.333
MTZ138,2021-07-29 03:59:00,LBHM8,27.778
MTZ138,2021-07-29 03:53:00,KSHR,22.8
MTZ138,2021-07-29 03:48:00,BRTM8,16.667
MTZ138,2021-07-29 03:29:00,HBOM8,27.778
MTZ138,2021-07-29 03:18:00,PMRM8,20
MTZ138,2021-07-29 03:18:00,WWMM8,23.889
MTZ138,2021-07-29 02:59:00,LBHM8,28.333
MTZ138,2021-07-29 02:53:00,KSHR,27.2
MTZ138,2021-07-29 02:48:00,BRTM8,16.667
MTZ138,2021-07-29 02:29:00,HBOM8,28.333
MTZ138,2021-07-29 02:18:00,PMRM8,20
MTZ138,2021-07-29 02:18:00,WWMM8,25
MTZ138,2021-07-29 01:59:00,LBHM8,30
MTZ138,2021-07-29 01:53:00,KSHR,28.9
MTZ138,2021-07-29 01:48:00,BRTM8,16.667
MTZ138,2021-07-29 01:29:00,HBOM8,28.889
MTZ138,2021-07-29 01:18:00,PMRM8,21.111
MTZ138,2021-07-29 01:18:00,WWMM8,25.556
MTZ138,2021-07-29 00:59:00,LBHM8,30.556
MTZ138,2021-07-29 00:53:00,KSHR,30.6
MTZ138,2021-07-29 00:48:00,BRTM8,17.222
MTZ138,2021-07-29 00:29:00,HBOM8,29.444
MTZ138,2021-07-29 00:18:00,PMRM8,21.66702
MTZ138,2021-07-29 00:18:00,WWMM8,26.66702
MTZ138,2021-07-28 23:59:00,LBHM8,31.111
MTZ138,2021-07-28 23:53:00,KSHR,31.7
MTZ138,2021-07-28 23:48:00,BRTM8,17.222
MTZ138,2021-07-28 23:29:00,HBOM8,29.444
MTZ138,2021-07-28 23:18:00,PMRM8,21.66702
MTZ138,2021-07-28 23:18:00,WWMM8,27.222
MTZ138,2021-07-28 22:59:00,LBHM8,31.66702
MTZ138,2021-07-28 22:53:00,KSHR,31.7
MTZ138,2021-07-28 22:48:00,BRTM8,17.222
MTZ138,2021-07-28 22:29:00,HBOM8,28.333
MTZ138,2021-07-28 22:18:00,PMRM8,21.111
MTZ138,2021-07-28 22:18:00,WWMM8,27.778
MTZ138,2021-07-28 21:59:00,LBHM8,33.333
MTZ138,2021-07-28 21:53:00,KSHR,32.8
MTZ138,2021-07-28 21:48:00,BRTM8,17.778
MTZ138,2021-07-28 21:29:00,HBOM8,30
MTZ138,2021-07-28 21:18:00,PMRM8,19.444
MTZ138,2021-07-28 21:18:00,WWMM8,30
MTZ138,2021-07-28 20:59:00,LBHM8,32.778
MTZ138,2021-07-28 20:53:00,KSHR,33.3
MTZ138,2021-07-28 20:48:00,BRTM8,17.222
MTZ138,2021-07-28 20:29:00,HBOM8,29.444
MTZ138,2021-07-28 20:18:00,PMRM8,23.333
MTZ138,2021-07-28 20:18:00,WWMM8,28.889
MTZ138,2021-07-28 19:59:00,LBHM8,32.778
MTZ138,2021-07-28 19:53:00,KSHR,32.8
MTZ138,2021-07-28 19:48:00,BRTM8,18.889
MTZ138,2021-07-28 19:29:00,HBOM8,30
MTZ138,2021-07-28 19:18:00,PMRM8,23.889
MTZ138,2021-07-28 19:18:00,WWMM8,27.222
MTZ138,2021-07-28 18:59:00,LBHM8,31.111
MTZ138,2021-07-28 18:53:00,KSHR,32.8
MTZ138,2021-07-28 18:48:00,BRTM8,19.444
MTZ138,2021-07-28 18:29:00,HBOM8,30
MTZ138,2021-07-28 18:18:00,PMRM8,22.778
